Dataset,Accuracy,HammingLoss,Coverage,RankingLoss,Avgprecisionmacro,Avgprecisionmicro,ROCAUC,f1scoremicro,Recallmicro,f1scoremacro,Recallmacro
classif20x20week_callin,"[0.525, 0.3902439024390244, 0.38461538461538464, 0.3, 0.4883720930232558, 0.3684210526315789, 0.5128205128205128, 0.475, 0.42105263157894735, 0.35714285714285715]","[0.205, 0.24878048780487805, 0.2, 0.195, 0.16744186046511628, 0.24736842105263157, 0.15897435897435896, 0.19, 0.17894736842105263, 0.1761904761904762]","[2.875, 3.097560975609756, 2.717948717948718, 2.775, 2.558139534883721, 3.1315789473684212, 2.641025641025641, 2.875, 2.8684210526315788, 2.7857142857142856]","[0.1375, 0.2113821138211382, 0.14957264957264957, 0.11875, 0.11627906976744184, 0.1951754385964912, 0.09615384615384615, 0.14583333333333331, 0.14473684210526316, 0.125]","[0.7927523243250129, 0.6969974603257598, 0.7095624207408997, 0.8719262789100359, 0.8453022308768112, 0.6826665084558574, 0.8154066466513562, 0.8138052083494592, 0.8387367782226466, 0.7927334657535097]","[0.8546719402307466, 0.7731004981048208, 0.824362203087496, 0.8868923171028656, 0.8918641315371555, 0.817873524632299, 0.8790857703363311, 0.886034192627569, 0.8753589425317176, 0.8803335768624421]","[0.8861420962717315, 0.8308310732274312, 0.875512626807684, 0.9094239261340828, 0.9248050336760014, 0.8416583416583416, 0.9192447194367399, 0.9016459253311924, 0.8957705613212812, 0.9075568598679384]",0.710567765568,0.640961538462,0.78612716763,0.723404255319
classif20x20week_callin,"[0.425, 0.36585365853658536, 0.358974358974359, 0.4, 0.5348837209302325, 0.4473684210526316, 0.5128205128205128, 0.375, 0.5, 0.30952380952380953]","[0.215, 0.24390243902439024, 0.2153846153846154, 0.175, 0.15348837209302327, 0.23684210526315788, 0.15384615384615385, 0.205, 0.16842105263157894, 0.21428571428571427]","[2.9, 3.073170731707317, 2.923076923076923, 2.775, 2.5348837209302326, 3.289473684210526, 2.717948717948718, 2.925, 2.8947368421052633, 2.880952380952381]","[0.14583333333333331, 0.2073170731707317, 0.18376068376068377, 0.09166666666666666, 0.10271317829457363, 0.22807017543859648, 0.12179487179487178, 0.15833333333333333, 0.14473684210526314, 0.14682539682539683]","[0.7623821052690442, 0.6822896227269727, 0.7093752522866226, 0.8911258831001533, 0.8752061717352413, 0.6887784446709885, 0.8206391139057081, 0.8194675463060435, 0.8386073648850239, 0.7882682431990731]","[0.8447296052842945, 0.7497187796131544, 0.7916064751119085, 0.9033673590748938, 0.8971628204282371, 0.7847536145762604, 0.8659916374396409, 0.8531967799469198, 0.8714989883272038, 0.8699641356127286]","[0.8883026831474223, 0.8197404106935295, 0.8565184545650766, 0.9250802890405461, 0.9315845444877704, 0.8286158286158285, 0.9138041391081715, 0.8991870734644721, 0.9042517576163376, 0.899578136463683]",0.700630597473,0.690961538462,0.756756756757,0.744680851064
classif20x20week_callout,"[0.375, 0.48717948717948717, 0.475, 0.4878048780487805, 0.37209302325581395, 0.358974358974359, 0.34210526315789475, 0.4634146341463415, 0.45, 0.46153846153846156]","[0.2, 0.1641025641025641, 0.18, 0.17560975609756097, 0.21395348837209302, 0.20512820512820512, 0.22105263157894736, 0.14634146341463414, 0.155, 0.15897435897435896]","[2.85, 2.769230769230769, 2.85, 2.8048780487804876, 3.046511627906977, 2.8461538461538463, 2.8947368421052633, 2.658536585365854, 2.775, 2.6666666666666665]","[0.14583333333333331, 0.12393162393162392, 0.1625, 0.13211382113821138, 0.16666666666666666, 0.13034188034188032, 0.16885964912280702, 0.09349593495934959, 0.1125, 0.08119658119658119]","[0.7685069672922973, 0.8276144705702408, 0.7022305324488959, 0.8366465285693983, 0.7558927613728416, 0.7748562276527509, 0.7239045183007242, 0.8289558156391925, 0.8364527905038093, 0.8502434442633728]","[0.837058543579003, 0.866381204157366, 0.8572037809094177, 0.8772692012091721, 0.8344479437353756, 0.8492222560571335, 0.8215233894480913, 0.8966215107052083, 0.8812036515575287, 0.919043691142873]","[0.8786868686868687, 0.9057499466609771, 0.893258426966292, 0.8998655913978495, 0.8678260869565217, 0.8871104515581938, 0.8701722778966333, 0.9305875576036866, 0.9214638572436737, 0.9370476798637718]",0.772307692308,0.741524725275,0.812121212121,0.770114942529
classif20x20week_callout,"[0.35, 0.48717948717948717, 0.425, 0.43902439024390244, 0.4186046511627907, 0.4358974358974359, 0.39473684210526316, 0.5121951219512195, 0.475, 0.5641025641025641]","[0.2, 0.16923076923076924, 0.205, 0.18536585365853658, 0.2, 0.17435897435897435, 0.20526315789473684, 0.13658536585365855, 0.165, 0.14871794871794872]","[2.95, 2.769230769230769, 2.975, 2.8536585365853657, 3.046511627906977, 2.8461538461538463, 2.8947368421052633, 2.8292682926829267, 2.8, 2.7435897435897436]","[0.1708333333333333, 0.13888888888888887, 0.18333333333333335, 0.1483739837398374, 0.18604651162790695, 0.12393162393162392, 0.1644736842105263, 0.11788617886178861, 0.11666666666666665, 0.10256410256410255]","[0.7840115760111983, 0.7856143710827898, 0.6947248289054668, 0.8405924593410987, 0.7291968406608416, 0.8297968288001233, 0.76466072138581, 0.850374692057294, 0.8285745659708276, 0.861651232393928]","[0.8048845747427029, 0.8155689709130023, 0.8322557773128836, 0.8589567139486997, 0.8167174735176623, 0.8580499866235894, 0.839408973760241, 0.886266787881629, 0.8611814585256883, 0.9002725641656177]","[0.865909090909091, 0.877960315767015, 0.8780747039174006, 0.8905529953917051, 0.8585652173913044, 0.9007313970744116, 0.8868933678639793, 0.9235311059907836, 0.9119366871660448, 0.9335355470412942]",0.801234639017,0.785663919414,0.830409356725,0.816091954023
classif20x20week_internet,"[0.325, 0.3333333333333333, 0.4634146341463415, 0.3333333333333333, 0.42105263157894735, 0.4, 0.35, 0.3, 0.35, 0.475]","[0.225, 0.2205128205128205, 0.1902439024390244, 0.24285714285714285, 0.18947368421052632, 0.255, 0.21, 0.23, 0.24, 0.185]","[3.05, 2.9743589743589745, 2.7804878048780486, 2.9761904761904763, 3.0, 3.1, 2.95, 2.975, 3.125, 2.8]","[0.17916666666666664, 0.16666666666666666, 0.10975609756097561, 0.1865079365079365, 0.14692982456140347, 0.2270833333333333, 0.17083333333333334, 0.18958333333333335, 0.2104166666666667, 0.15]","[0.7503205369972067, 0.7290896550569774, 0.8192221006795233, 0.7335710925663365, 0.807767506510405, 0.6908948096519207, 0.803786438326515, 0.6588435884477182, 0.7157044272108288, 0.7521362173734298]","[0.8200671832227613, 0.8522946389277474, 0.888472242301543, 0.816981836053414, 0.8921630758259355, 0.8206890252901139, 0.8515467169775776, 0.8091344948260557, 0.835732721545564, 0.8736014544910364]","[0.8647545115435024, 0.8779799914857386, 0.9095551737304315, 0.8630529134730816, 0.9060555555555555, 0.8510476768903734, 0.8838063607085347, 0.8506764316956567, 0.8648553281580804, 0.9040187678498572]",0.66,0.575591908092,0.761290322581,0.686046511628
classif20x20week_internet,"[0.375, 0.5128205128205128, 0.4146341463414634, 0.4523809523809524, 0.4473684210526316, 0.325, 0.425, 0.3, 0.5, 0.55]","[0.185, 0.2, 0.2048780487804878, 0.22857142857142856, 0.18421052631578946, 0.25, 0.21, 0.25, 0.175, 0.17]","[3.1, 2.9743589743589745, 3.0, 2.9523809523809526, 3.0789473684210527, 3.0, 3.025, 3.075, 2.975, 2.75]","[0.17916666666666664, 0.17735042735042733, 0.1402439024390244, 0.1865079365079365, 0.16008771929824558, 0.22291666666666665, 0.19166666666666668, 0.2145833333333333, 0.15208333333333332, 0.14791666666666664]","[0.795920702732411, 0.7245455355647007, 0.802639050110711, 0.7299936029646538, 0.8157341782236927, 0.7670845931029755, 0.7515439331611462, 0.6426135249344954, 0.7778872937889072, 0.7475148572476236]","[0.8334034601969518, 0.8372985510679822, 0.8579132186603727, 0.8041268937347595, 0.8841271288435562, 0.8195015200697406, 0.8315895461670493, 0.7725732769514202, 0.8556131659317703, 0.8411162545961853]","[0.8764996471418489, 0.8812260536398469, 0.895332187857961, 0.8614368824452858, 0.9056666666666666, 0.8620305698957385, 0.8717793880837359, 0.8358763096327942, 0.8976207278959571, 0.8967768257853936]",0.758857944381,0.778169330669,0.804597701149,0.813953488372
classif20x20week_smsin,"[0.4634146341463415, 0.39473684210526316, 0.40476190476190477, 0.4634146341463415, 0.5945945945945946, 0.5365853658536586, 0.43902439024390244, 0.4878048780487805, 0.2894736842105263, 0.425]","[0.16585365853658537, 0.24736842105263157, 0.21904761904761905, 0.2097560975609756, 0.16216216216216217, 0.17073170731707318, 0.18536585365853658, 0.15609756097560976, 0.22105263157894736, 0.18]","[2.5609756097560976, 3.1842105263157894, 2.880952380952381, 2.7804878048780486, 2.7567567567567566, 2.731707317073171, 2.8536585365853657, 2.731707317073171, 2.8947368421052633, 2.675]","[0.08943089430894309, 0.24122807017543862, 0.15873015873015875, 0.18495934959349594, 0.12612612612612611, 0.11788617886178861, 0.14227642276422764, 0.09146341463414633, 0.1469298245614035, 0.0875]","[0.8455487275828096, 0.7201670721123318, 0.7358831694463779, 0.6960102767961509, 0.8559578759945033, 0.8270697933176689, 0.8075559170572673, 0.8430102592108284, 0.7812202508951931, 0.855217980629841]","[0.8950890016861003, 0.799334790253314, 0.8550481887724288, 0.8121289151570987, 0.9014375223598672, 0.897390469509352, 0.8869091789975906, 0.9005487290954158, 0.841807719101472, 0.9035333818893548]","[0.9273278183916891, 0.8470588235294118, 0.8830409356725146, 0.8634453781512605, 0.9139499173163241, 0.9210753306497987, 0.903849846390169, 0.918133971291866, 0.8856022408963586, 0.9190821256038648]",0.737270265966,0.695078671329,0.788235294118,0.728260869565
classif20x20week_smsin,"[0.6341463414634146, 0.47368421052631576, 0.40476190476190477, 0.4146341463414634, 0.43243243243243246, 0.5365853658536586, 0.4878048780487805, 0.4878048780487805, 0.39473684210526316, 0.45]","[0.12195121951219512, 0.21578947368421053, 0.21428571428571427, 0.2, 0.1837837837837838, 0.16585365853658537, 0.16097560975609757, 0.14634146341463414, 0.2, 0.18]","[2.682926829268293, 3.1578947368421053, 2.9761904761904763, 3.0, 2.891891891891892, 2.8048780487804876, 2.8292682926829267, 2.682926829268293, 2.8684210526315788, 2.875]","[0.10162601626016259, 0.21929824561403505, 0.16666666666666666, 0.225609756097561, 0.14414414414414414, 0.13008130081300812, 0.13008130081300812, 0.07723577235772357, 0.13815789473684212, 0.12916666666666665]","[0.8651181270814551, 0.7012743052095566, 0.7496397608971138, 0.6673152152137088, 0.8031948586128153, 0.8426155003049602, 0.834896523091674, 0.8502289694516547, 0.7865991763718158, 0.8610949138062626]","[0.9025551489836381, 0.789122097717402, 0.8573529155703452, 0.7806796839885162, 0.8629897081542273, 0.8893039713608578, 0.8807996506660016, 0.896738575295786, 0.8458626433896749, 0.9000520848148157]","[0.9318968834166987, 0.8455462184873949, 0.8871527777777778, 0.8606605432870822, 0.8952279707063548, 0.9189668391796051, 0.9152745775729647, 0.9299521531100479, 0.8950700280112045, 0.9244162640901772]",0.745747690079,0.716914335664,0.795454545455,0.760869565217
classif20x20week_smsout,"[0.4186046511627907, 0.5365853658536586, 0.4358974358974359, 0.5897435897435898, 0.425, 0.5384615384615384, 0.3333333333333333, 0.4, 0.525, 0.375]","[0.17674418604651163, 0.12195121951219512, 0.18974358974358974, 0.15384615384615385, 0.24, 0.14871794871794872, 0.2564102564102564, 0.21, 0.14, 0.205]","[2.7906976744186047, 2.5609756097560976, 2.948717948717949, 2.7435897435897436, 2.975, 2.6666666666666665, 3.051282051282051, 2.9, 2.525, 2.875]","[0.12403100775193796, 0.07926829268292682, 0.14957264957264957, 0.1367521367521367, 0.2, 0.11538461538461539, 0.21367521367521364, 0.15833333333333335, 0.06666666666666667, 0.14166666666666666]","[0.8375146548835604, 0.9060073510038041, 0.7840127381073577, 0.7995001081373646, 0.7258015766231085, 0.8584251630818477, 0.6679814595199157, 0.7820752829223443, 0.8500840384825663, 0.8126817062195115]","[0.877061031380712, 0.9381330085652144, 0.8728964374585263, 0.849492611690414, 0.8059629205045027, 0.8979972026048724, 0.765713784011962, 0.8829742275595136, 0.8843104918237907, 0.8771681300975719]","[0.9064785788923719, 0.9538764909580607, 0.8898985629754861, 0.8890485312899106, 0.8423423423423424, 0.9222459893048129, 0.8309686366545765, 0.9053836072184697, 0.9223823051948052, 0.8989548789066426]",0.70079656132,0.657783882784,0.760233918129,0.698924731183
classif20x20week_smsout,"[0.5813953488372093, 0.6341463414634146, 0.4358974358974359, 0.5128205128205128, 0.4, 0.5641025641025641, 0.358974358974359, 0.475, 0.575, 0.45]","[0.14883720930232558, 0.1024390243902439, 0.2, 0.19487179487179487, 0.245, 0.15897435897435896, 0.2512820512820513, 0.135, 0.13, 0.195]","[2.7906976744186047, 2.5365853658536586, 3.1794871794871793, 2.923076923076923, 3.05, 2.6666666666666665, 3.282051282051282, 2.775, 2.675, 3.0]","[0.10852713178294575, 0.06300813008130081, 0.19017094017094016, 0.16666666666666666, 0.20833333333333331, 0.12393162393162392, 0.264957264957265, 0.10833333333333332, 0.11458333333333333, 0.17916666666666667]","[0.8587463159195863, 0.9176389946044035, 0.7743519025229552, 0.7922736657797543, 0.7364925399001246, 0.8646346100319938, 0.6488153717745584, 0.8427004730209801, 0.8397814402512347, 0.7191347184993556]","[0.8970596529484548, 0.9342744460394192, 0.8342790296876967, 0.8294035331467937, 0.7911168022824224, 0.896114825094984, 0.7048320194871919, 0.901505593558767, 0.8613186704013067, 0.8072675259912288]","[0.925417972831766, 0.954646017699115, 0.875, 0.883301404853129, 0.8487195060228768, 0.9222994652406418, 0.8021122253040325, 0.9362838995866518, 0.9189326298701299, 0.8626771178776003]",0.725490934187,0.682692307692,0.774566473988,0.720430107527
