Dataset	Accuracy	HammingLoss	Coverage	RankingLoss	Avgprecisionmacro	Avgprecisionmicro	ROCAUC	f1scoremicro	Recallmicro	f1scoremacro	Recallmacro
classif20x20week_callin	[0.45, 0.2926829268292683, 0.41025641025641024, 0.375, 0.46511627906976744, 0.39473684210526316, 0.4358974358974359, 0.475, 0.42105263157894735, 0.42857142857142855]	[0.195, 0.2731707317073171, 0.19487179487179487, 0.175, 0.16279069767441862, 0.22631578947368422, 0.1641025641025641, 0.185, 0.1736842105263158, 0.1523809523809524]	[3.1,3.07317073170732,2.8974358974359,2.95,2.86046511627907,3.18421052631579,2.8974358974359,2.95,3.10526315789474,2.83333333333333]	[0.18333333333333332, 0.2113821138211382, 0.1858974358974359, 0.13333333333333333, 0.16666666666666669, 0.1732456140350877, 0.1581196581196581, 0.12708333333333333, 0.2017543859649123, 0.12698412698412698]	[0.6283021200846262, 0.6220420590487165, 0.6760172297023871, 0.7425745744252544, 0.6903367879840533, 0.6496382062035829, 0.6920085903262871, 0.6707061127909191, 0.6654655102663205, 0.6820086194139966]	[0.8033809048196235, 0.7318534924893958, 0.7965494000223771, 0.8630458155021195, 0.8235841376897319, 0.8014764537418378, 0.8135534002852607, 0.866249549036511, 0.8048336407335379, 0.8449092942624072]	[0.8267008340870263, 0.7885509492444789, 0.8305633498812863, 0.8821758329987957, 0.8590925203828429, 0.8230103230103232, 0.8575314700234692, 0.8805198715375352, 0.8310456422274299, 0.8710106382978724]	0.774878110395	0.7525	0.827956989247	0.81914893617
classif20x20week_callin	[0.425, 0.3902439024390244, 0.38461538461538464, 0.4, 0.5348837209302325, 0.39473684210526316, 0.5128205128205128, 0.375, 0.4473684210526316, 0.30952380952380953]	[0.215, 0.24390243902439024, 0.2153846153846154, 0.175, 0.15348837209302327, 0.24210526315789474, 0.15384615384615385, 0.205, 0.19473684210526315, 0.21428571428571427]	[2.95,3.02439024390244,2.76923076923077,2.775,2.76744186046512,3.10526315789474,2.76923076923077,2.85,2.97368421052632,2.83333333333333]	[0.14166666666666666, 0.20325203252032517, 0.17735042735042733, 0.09999999999999999, 0.1569767441860465, 0.15789473684210525, 0.12606837606837606, 0.10416666666666666, 0.17763157894736845, 0.12698412698412698]	[0.7478559367114355, 0.6094016572567703, 0.6915478944592647, 0.8690962460705164, 0.7307942295107993, 0.691346906804668, 0.7464077721480507, 0.8118304445898048, 0.780834128548747, 0.7673782953542758]	[0.8443430378591088, 0.712627170686173, 0.805518443188193, 0.8857115716409424, 0.8074130751509085, 0.8213687950718156, 0.8331962238177388, 0.8975186713582634, 0.8302136525593771, 0.8467217539196539]	[0.8701135564264899, 0.7794459511817124, 0.8366609108568962, 0.906413087113609, 0.8486795462601915, 0.8384948384948385, 0.8832942180499254, 0.9191589723002811, 0.8588885169065954, 0.8797688921496698]	0.700630597473	0.690961538462	0.756756756757	0.744680851064
classif20x20week_callout	[0.425, 0.5128205128205128, 0.4, 0.36585365853658536, 0.46511627906976744, 0.38461538461538464, 0.39473684210526316, 0.4634146341463415, 0.5, 0.38461538461538464]	[0.185, 0.15897435897435896, 0.215, 0.2048780487804878, 0.21395348837209302, 0.18974358974358974, 0.21578947368421053, 0.14634146341463414, 0.15, 0.16923076923076924]	[2.9, 2.7948717948717947, 2.775, 3.024390243902439, 3.0697674418604652, 2.871794871794872, 3.1315789473684212, 2.731707317073171, 2.825, 2.8461538461538463]	[0.15833333333333333, 0.12606837606837606, 0.11666666666666665, 0.16463414634146342, 0.17248062015503873, 0.1388888888888889, 0.22587719298245612, 0.10365853658536585, 0.10208333333333333, 0.13888888888888887]	[0.6901611411539909, 0.765127377182161, 0.6371937959439629, 0.7387013235442188, 0.7003115297629889, 0.7070073403774358, 0.6707540596217911, 0.7365624893226503, 0.8167248424560347, 0.6913223797615624]	[0.8209683122524145, 0.8517857786717475, 0.8288827647737115, 0.8160533641456976, 0.8323787852219666, 0.865910290962352, 0.7779600405076759, 0.8640622829680974, 0.891327592735972, 0.8651553233778051]	[0.8544444444444446, 0.872679752506934, 0.8651685393258427, 0.8414938556067588, 0.8513043478260869, 0.8753974984100064, 0.8200653079608152, 0.8974654377880185, 0.9092650468797259, 0.8834610472541506]	0.799225063314	0.832206959707	0.819672131148	0.862068965517
classif20x20week_callout	[0.35, 0.48717948717948717, 0.425, 0.43902439024390244, 0.4186046511627907, 0.4358974358974359, 0.39473684210526316, 0.5121951219512195, 0.475, 0.5897435897435898]	[0.195, 0.16923076923076924, 0.205, 0.18536585365853658, 0.2, 0.17435897435897435, 0.20526315789473684, 0.13658536585365855, 0.165, 0.13846153846153847]	[2.75, 2.7435897435897436, 2.85, 3.0, 2.953488372093023, 2.871794871794872, 2.8684210526315788, 2.707317073170732, 2.775, 2.6923076923076925]	[0.125, 0.11752136752136752, 0.14166666666666666, 0.17886178861788618, 0.13953488372093023, 0.13247863247863245, 0.16228070175438597, 0.09959349593495934, 0.09791666666666667, 0.1111111111111111]	[0.766703069702692, 0.7850863558881078, 0.643957351278426, 0.7736981871815402, 0.708756334062289, 0.7632109046810183, 0.755532319275901, 0.8373966072130765, 0.7722541174135368, 0.8020951818136839]	[0.8299118156227949, 0.8284677345549007, 0.8362997112223245, 0.8335245035001696, 0.8340711253772233, 0.8776259758027756, 0.8215596469395987, 0.8804914874621748, 0.8578393801103128, 0.8672815617221981]	[0.8691919191919192, 0.8707595476850863, 0.8649660896851907, 0.8560387864823349, 0.8595217391304347, 0.8925164299342803, 0.8673572795856322, 0.908266129032258, 0.8964613368283093, 0.8966049382716048]	0.811191348974	0.804711538462	0.843930635838	0.83908045977
classif20x20week_internet	[0.35, 0.38461538461538464, 0.34146341463414637, 0.38095238095238093, 0.42105263157894735, 0.375, 0.475, 0.35, 0.375, 0.4]	[0.215, 0.22564102564102564, 0.2048780487804878, 0.23333333333333334, 0.18421052631578946, 0.265, 0.19, 0.24, 0.26, 0.2]	[3.05, 2.9743589743589745, 2.7804878048780486, 2.9761904761904763, 3.0, 3.1, 2.95, 2.975, 3.125, 2.8, 3.0, 3.076923076923077, 3.048780487804878, 2.9761904761904763, 2.8947368421052633, 3.025, 3.05, 2.975, 3.075, 2.975]	[0.14999999999999997, 0.17948717948717946, 0.1402439024390244, 0.1706349206349206, 0.125, 0.18124999999999997, 0.18749999999999997, 0.1729166666666667, 0.18958333333333333, 0.17708333333333331]	[0.6692764414874554, 0.6295402008511928, 0.7332314595538121, 0.7111622402278718, 0.6779799390245647, 0.6647474165411513, 0.6731456405325968, 0.5861911245906356, 0.7021209513592508, 0.652625275333689]	[0.8094090992653221, 0.823283393521508, 0.8427286208643958, 0.8168312835905989, 0.8602386264356447, 0.7945855770651585, 0.7973085718143978, 0.7888429448163643, 0.8157697893339831, 0.8207346521368051]	[0.8401552575864502, 0.8455193699446573, 0.869463535700649, 0.8504016991411949, 0.8734444444444446, 0.8290312784694807, 0.8338868760064413, 0.8249923710711016, 0.8407097489666298, 0.856844145246838]	0.68718335428	0.684666583417	0.764705882353	0.755813953488
classif20x20week_internet	[0.35, 0.5128205128205128, 0.4146341463414634, 0.42857142857142855, 0.4473684210526316, 0.3, 0.425, 0.3, 0.5, 0.55]	[0.185, 0.2, 0.2048780487804878, 0.23809523809523808, 0.18421052631578946, 0.24, 0.21, 0.25, 0.175, 0.17]	[2.925, 3.0, 2.951219512195122, 2.9047619047619047, 2.9473684210526314, 3.025, 2.95, 2.925, 3.05, 2.775]	[0.1625, 0.16666666666666666, 0.13008130081300812, 0.15476190476190477, 0.12938596491228072, 0.2145833333333333, 0.14583333333333331, 0.18125, 0.17708333333333331, 0.14583333333333334]	[0.7121296205202763, 0.6846819083830589, 0.6859201685021237, 0.6803414840525727, 0.7452401484565346, 0.6471952946856532, 0.6866661201900852, 0.5815648402858107, 0.7457401285818656, 0.6535699262960037]	[0.8237560901325612, 0.8329995876698097, 0.8488286450815677, 0.8280516061554721, 0.8764446552621816, 0.789179918024095, 0.8185259006336172, 0.7798783403095391, 0.8444712503619495, 0.8349975606052751]	[0.861830829720738, 0.863931460195828, 0.8794864452080948, 0.8567734786222182, 0.8894444444444445, 0.8314100617471404, 0.8536634460547504, 0.8293154307801852, 0.8744329065429982, 0.8763259893920848]	0.758857944381	0.778169330669	0.804597701149	0.813953488372
classif20x20week_smsin	[0.43902439024390244, 0.39473684210526316, 0.47619047619047616, 0.4146341463414634, 0.6756756756756757, 0.5365853658536586, 0.43902439024390244, 0.43902439024390244, 0.3684210526315789, 0.375]	[0.1902439024390244, 0.23684210526315788, 0.18571428571428572, 0.22926829268292684, 0.12972972972972974, 0.1902439024390244, 0.1902439024390244, 0.18048780487804877, 0.21052631578947367, 0.18]	[2.707317073170732, 2.9473684210526314, 2.761904761904762, 2.7560975609756095, 2.945945945945946, 2.902439024390244, 2.7560975609756095, 3.048780487804878, 3.0789473684210527, 2.95]	[0.1138211382113821, 0.17105263157894735, 0.11309523809523807, 0.17073170731707316, 0.15315315315315317, 0.13617886178861788, 0.12195121951219512, 0.14634146341463414, 0.1864035087719298, 0.13958333333333334]	[0.7544647971661123, 0.6700680129924391, 0.6852589171067047, 0.6224565252384949, 0.6629641683703402, 0.7206737051041998, 0.7245005552986385, 0.7098569992067685, 0.6775940199422943, 0.7228822619741904]	[0.8472464516613376, 0.7783547677334826, 0.8713644952033608, 0.7808267522161054, 0.8125658938326137, 0.8606761353996669, 0.8646537714678313, 0.8555811819180151, 0.8013227522722827, 0.8706810506151681]	[0.885100038476337, 0.8244257703081233, 0.8846856725146198, 0.8351573187414499, 0.8386487124970471, 0.8852788959171938, 0.8810003840245776, 0.8694258373205742, 0.8400000000000001, 0.8818941223832528]	0.760962566845	0.771958041958	0.802197802198	0.79347826087
classif20x20week_smsin	[0.6341463414634146, 0.4473684210526316, 0.42857142857142855, 0.4146341463414634, 0.43243243243243246, 0.5365853658536586, 0.4878048780487805, 0.43902439024390244, 0.39473684210526316, 0.425]	[0.12195121951219512, 0.21578947368421053, 0.19523809523809524, 0.2, 0.1837837837837838, 0.16585365853658537, 0.16097560975609757, 0.15609756097560976, 0.2, 0.17]	[2.731707317073171, 3.0, 2.761904761904762, 2.731707317073171, 2.972972972972973, 3.024390243902439, 2.5609756097560976, 2.8048780487804876, 2.8684210526315788, 2.85]	[0.11178861788617886, 0.19298245614035087, 0.12103174603174602, 0.16260162601626013, 0.15765765765765766, 0.1382113821138211, 0.08536585365853658, 0.0975609756097561, 0.1469298245614035, 0.12291666666666665]	[0.8221149898677916, 0.6673104468456982, 0.71265723185424, 0.699391266431917, 0.7615767643264498, 0.7271292854616025, 0.7971346183297693, 0.7976476103470753, 0.7395257550841088, 0.8222135197101625]	[0.8685898133982868, 0.7936449813334954, 0.8654224206877696, 0.8160275923206679, 0.8279321730306337, 0.8805705454397768, 0.8668929546520366, 0.8714778188114293, 0.8018388412473705, 0.8904570500920649]	[0.8994805694497885, 0.8393837535014006, 0.885233918128655, 0.8654973617353918, 0.8544176706827309, 0.8914126892850298, 0.8983774961597543, 0.90377990430622, 0.8562464985994398, 0.908011272141707]	0.776766208598	0.763068181818	0.811111111111	0.79347826087
classif20x20week_smsout	[0.5116279069767442, 0.5853658536585366, 0.48717948717948717, 0.5384615384615384, 0.325, 0.5384615384615384, 0.3076923076923077, 0.4, 0.575, 0.35]	[0.16744186046511628, 0.11219512195121951, 0.20512820512820512, 0.16923076923076924, 0.25, 0.15384615384615385, 0.24615384615384617, 0.22, 0.115, 0.195]	[2.953488372093023, 2.731707317073171, 3.2051282051282053, 3.0, 2.925, 2.7435897435897436, 3.2051282051282053, 2.95, 2.65, 2.975]	[0.1395348837209302, 0.1056910569105691, 0.20726495726495728, 0.17521367521367523, 0.1625, 0.13888888888888887, 0.23076923076923078, 0.14999999999999997, 0.09375, 0.15208333333333332]	[0.7457748906977397, 0.8377723257674712, 0.6650543063121463, 0.6871809147472847, 0.6775715787704892, 0.7003007329639928, 0.6608686740380273, 0.6631356772124974, 0.7849597938529751, 0.7239909259269172]	[0.8611332649673319, 0.9007499696622694, 0.8260325377134661, 0.7974478100194352, 0.7854291957418486, 0.8187743369366379, 0.7689859796922689, 0.8554674889916685, 0.8448447882018136, 0.8633939939334092]	[0.8794845001741554, 0.919440169295883, 0.8373837700760778, 0.8409961685823755, 0.8261463710901913, 0.8561497326203208, 0.8103797738425432, 0.8677790099808449, 0.8883928571428572, 0.879559843231836]	0.731503467511	0.704716117216	0.782122905028	0.752688172043
classif20x20week_smsout	[0.5581395348837209, 0.6097560975609756, 0.41025641025641024, 0.46153846153846156, 0.4, 0.5897435897435898, 0.358974358974359, 0.475, 0.5, 0.4]	[0.16279069767441862, 0.1024390243902439, 0.2153846153846154, 0.18974358974358974, 0.225, 0.13333333333333333, 0.24615384615384617, 0.15, 0.14, 0.2]	[2.744186046511628, 2.5609756097560976, 2.8974358974358974, 2.7948717948717947, 2.9, 2.6923076923076925, 3.128205128205128, 2.675, 2.575, 3.025]	[0.09883720930232556, 0.0711382113821138, 0.13247863247863245, 0.14316239316239315, 0.15416666666666665, 0.12606837606837606, 0.22008547008547005, 0.1, 0.075, 0.13958333333333334]	[0.7913171330371676, 0.8740954227427539, 0.7290322777033303, 0.6944265961826848, 0.7115677477096243, 0.7454314355646369, 0.6617094342338382, 0.7997620982644235, 0.8551144646497496, 0.7102954905004637]	[0.8818467772933496, 0.929328698511773, 0.862583774839079, 0.8260088140653763, 0.7980732800928764, 0.8449529658619811, 0.7455415116785207, 0.8638285174923093, 0.8796208565993167, 0.8341318162004571]	[0.9046934865900383, 0.9438245479030396, 0.8778000845308538, 0.8652085994040016, 0.8497823666362991, 0.8787700534759358, 0.8018455301898868, 0.9007964512551668, 0.9231432629870129, 0.8653401668174053]	0.681046489742	0.616025641026	0.764705882353	0.698924731183
