cellid,h/w,work
4273,1,1
4274,0,1
4275,0,1
4276,1,0
4277,1,0
4278,1,0
4279,1,0
4280,1,0
4281,1,0
4282,0,1
4373,0,1
4374,0,1
4375,0,1
4376,0,1
4377,0,1
4378,0,1
4379,0,0
4380,0,1
4381,1,0
4382,0,1
4473,1,0
4474,0,1
4475,0,1
4476,0,0
4477,0,1
4478,0,1
4479,0,1
4480,0,1
4481,0,1
4482,0,1
4573,1,0
4574,0,1
4575,0,1
4576,1,0
4577,0,1
4578,0,1
4579,0,1
4580,0,1
4581,0,1
4582,0,1
4673,0,1
4674,0,1
4675,0,1
4676,1,0
4677,1,0
4678,1,1
4679,1,1
4680,0,1
4681,0,1
4682,0,1
4773,0,1
4774,0,1
4775,0,1
4776,0,1
4777,1,0
4778,1,0
4779,1,0
4780,1,1
4781,1,0
4782,1,0
4873,0,0
4874,0,1
4875,0,1
4876,1,1
4877,1,0
4878,1,0
4879,1,0
4880,1,0
4881,1,0
4882,1,0
4973,1,0
4974,1,1
4975,1,0
4976,1,0
4977,1,0
4978,1,0
4979,1,0
4980,1,0
4981,1,0
4982,1,0
5073,1,0
5074,1,0
5075,1,0
5076,1,0
5077,0,1
5078,0,1
5079,1,0
5080,1,0
5081,0,1
5082,0,1
5173,1,0
5174,1,1
5175,1,1
5176,0,1
5177,0,1
5178,0,1
5179,1,0
5180,1,0
5181,1,0
5182,1,0
